member_id,member_name,program,site,first_checkin,last_checkin,checkins_30d
10231,Amara Okafor,After School,Riverbend Main,2026-01-13,2026-02-06,17
10232,Diego Ramirez,After School,Riverbend Main,2026-01-14,2026-02-06,16
10234,Jamal Whitfield,After School,Riverbend Main,2026-01-15,2026-02-05,15
10236,Malik Haddad,After School,Eastside,2026-01-16,2026-02-06,14
10238,Tomas Ferreira,Teen Center,Riverbend Main,2026-01-19,2026-02-06,12
10240,Ezra Goldstein,After School,Riverbend Main,2026-01-20,2026-02-06,13
10241,Zainab Al-Sayed,Teen Center,Eastside,2026-01-20,2026-01-28,4
10242,Liam O'Connell,Teen Center,Riverbend Main,2026-01-21,2026-02-06,11
10244,Noah Petrov,After School,Eastside,2026-01-22,2026-02-06,12
10245,Fatima Diallo,After School,Eastside,2026-01-22,2026-02-06,12
10246,Mateo Herrera,Teen Center,Riverbend Main,2026-01-23,2026-02-06,10
10247,Aisha Mensah,After School,Riverbend Main,2026-01-23,2026-02-06,11
10249,Lucia Moreau,Teen Center,Eastside,2026-01-26,2026-02-06,9
10250,Omar Hassan,After School,Riverbend Main,2026-01-27,2026-02-06,9
10251,Grace Adeyemi,After School,Riverbend Main,2026-01-27,2026-02-06,9
10252,Ravi Sharma,Teen Center,Riverbend Main,2026-01-28,2026-02-06,8
10253,Mia Andersson,After School,Eastside,2026-01-28,2026-02-06,8
10255,Nadia Volkov,Teen Center,Riverbend Main,2026-01-29,2026-02-06,7
10256,Elijah Brooks,After School,Riverbend Main,2026-01-30,2026-02-06,6
10259,Amira Farah,After School,Eastside,2026-02-02,2026-02-06,5
10262,Ibrahim Sow,Teen Center,Eastside,2026-02-04,2026-02-06,3
10265,Layla Karimi,Teen Center,Riverbend Main,2026-02-05,2026-02-06,2
