MBR_ID,F_NM,L_NM,DOB,GRD_LVL,PRG_CD,SITE_CD,ENR_DT,STS,PU_AUTH,GRDN_PH,FEE_WVR,NOTES
10231,Amara,Okafor,03/14/2015,5,ASP,RB1,2026-01-12,A,Y,555-0142,N,
10232,Diego,Ramírez,2014-11-02,6,ASP,RB1,01/13/2026,A,Y,555-0177,Y,free lunch ltr on file
10233,Priya,Natarajan,7/9/13,7,TN,RB2,2026-01-13,P,,555-0190,N,waiting on PU form
10234,Jamal,Whitfield,2016-05-21,4,ASP,RB1,2026-01-14,A,Y,555-0119,N,
10235,Sofia,Lindqvist,2012-02-28,8,TN,RB2,2026-01-14,W,Y,555-0163,N,site full see Denise
10236,Malik,Haddad,09/30/2015,5,ASP,RB2,2026-01-15,A,Y,555-0155,Y,
10237,Chloe,Nguyen,2015-09-30,5,ASP,RB2,2026-01-15,A,Y,555-0155,Y,DUPLICATE? same phone as 10236
10238,Tomás,Ferreira,2011-06-11,9,TN,RB1,2026-01-16,A,N/A,555-0128,N,
10239,Hana,Kobayashi,,3,ASP,RB1,2026-01-16,P,Y,555-0181,N,DOB missing - mom to call back
10240,Ezra,Goldstein,2017-08-04,3,ASP,RB1,2026-01-17,A,Y,555-0102,N,
10241,Zainab,Al-Sayed,2010-12-19,10,TN,RB2,2026-01-17,A,Y,555-0139,N,
10242,Liam,O'Connell,2013-04-22,7,ASP,RB1,2026-01-20,X,Y,555-0166,N,aged out of ASP -> TN?
10243,Isabela,Costa,2015-01-30,5,SUM,RB1,2026-01-20,P,Y,555-0174,Y,summer not open yet
10244,Noah,Petrov,2014-07-15,6,ASP,RB2,2026-01-21,A,Y,555-0150,N,
10245,Fatima,Diallo,2016-10-08,4,ASP,RB2,2026-01-21,A,Y,555-0111,Y,
10246,Mateo,Herrera,2012-09-03,8,TN,RB1,2026-01-22,A,Y,555-0198,N,
10247,Aisha,Mensah,2015-03-14,5,ASP,RB1,2026-01-22,A,Y,555-0142,N,same phone as 10231 - sibling
10248,Kai,Tanaka,2013-12-25,7,TN,RB2,2026-01-23,P,N,555-0135,N,under 13 no PU auth - HOLD
10249,Lucia,Moreau,2011-01-17,9,TN,RB2,2026-01-23,A,Y,555-0158,N,
10250,Omar,Hassan,2016-02-29,4,ASP,RB1,2026-01-24,A,Y,555-0120,N,
10251,Grace,Adeyemi,2014-05-05,6,ASP,RB1,2026-01-24,A,Y,555-0187,Y,
10252,Ravi,Sharma,2010-03-11,10,TN,RB1,2026-01-27,A,Y,555-0144,N,
10253,Mia,Andersson,2015-11-11,5,ASP,RB2,2026-01-27,W,Y,555-0170,N,RB2 ASP at cap
10254,Yusuf,Demir,2013-08-19,7,ASP,RB2,2026-01-28,A,Y,555-0126,N,7th grade in ASP? check
10255,Nadia,Volkov,2012-06-06,8,TN,RB1,2026-01-28,A,Y,555-0193,N,
10256,Elijah,Brooks,2016-04-01,4,ASP,RB1,2026-01-29,A,Y,555-0109,N,
10257,Sana,Iqbal,2014-09-27,6,ASP,RB1,2026-01-29,A,Y,555-0161,Y,
10258,Leo,Bianchi,2011-11-23,9,TN,RB2,2026-01-30,A,Y,555-0147,N,
10259,Amira,Farah,2015-07-07,5,ASP,RB2,2026-01-30,A,Y,555-0133,N,
10260,Daniel,Kim,2013-02-14,7,TN,RB1,2026-02-02,P,Y,555-0115,N,turning 13 in Feb - TN ok after bday
10231,Amara,Okafor,03/14/2015,5,ASP,RB1,2026-02-02,A,Y,555-0142,N,re-entered by mistake
10261,Valentina,Rossi,2016-12-12,4,ASP,RB1,2026-02-03,A,Y,555-0184,N,
10262,Ibrahim,Sow,2012-04-18,8,TN,RB2,2026-02-03,A,Y,555-0152,Y,
10263,Emma,Schulz,2014-01-09,6,ASP,RB2,2026-02-04,A,Y,555-0137,N,
10264,Arjun,Patel,2017-03-03,3,ASP,RB1,2026-02-04,P,Y,555-0196,N,form says grade 2 - too young?
10265,Layla,Karimi,2013-10-30,7,TN,RB1,2026-02-05,A,Y,555-0123,N,
10266,Samuel,Osei,2015-05-16,5,ASP,RB2,2026-02-05,A,Y,555-0168,N,
10267,Ines,Duarte,2011-08-08,9,TN,RB2,2026-02-06,A,Y,555-0140,N,
10268,Jonah,Fischer,2014-12-01,6,ASP,RB1,2026-02-06,A,Y,555-0176,Y,
10269,Aaliyah,Thompson,2016-06-20,4,ASP,RB2,2026-02-07,A,Y,555-0105,N,
